area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
Fiji,eez,Reconstructed domestic catch,1.0,1950,Sphyraena,"Barracudas, sennets",Large pelagics (>=90 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,33.4026911416,1115.7397754984177
Fiji,eez,Reconstructed domestic catch,2.0,1950,Rastrelliger kanagurta,Indian mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Fiji,Subsistence,Landings,Reported,subsistence fishing gear,Direct human consumption,100.0,10000.000000000002
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Australia,Industrial,Discards,Unreported,unknown class,Discards,1.0097814096,1480.3395464118328
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Australia,Industrial,Landings,Reported,unknown class,Direct human consumption,16.8128604691,16454.666291264406
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Australia,Industrial,Landings,Reported,unknown class,Fishmeal and fish oil,0.0084148451,0.0029569530573217
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Australia,Industrial,Landings,Reported,unknown class,Other,0.0084148451,0.0029569530573217
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Guam (USA),Industrial,Landings,Reported,unknown class,Other,0.0067836373,0.158471334001551
Fiji,eez,Inferred foreign catch,,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,North Marianas (USA),Industrial,Discards,Unreported,unknown class,Discards,0.0004093287,0.6000759143091294
Fiji,eez,Reconstructed domestic catch,2.0,1951,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Reported,subsistence fishing gear,Direct human consumption,1100.0,5052609.6187090045
Fiji,eez,Reconstructed domestic catch,2.0,1951,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,3493.2814715536,16045625.058208968
Fiji,eez,Reconstructed domestic catch,2.0,1951,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,2478.4880824474,6142903.174833543
Fiji,eez,Reconstructed domestic catch,2.0,1951,Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,756.1489065094,665187.026680478
Fiji,eez,Reconstructed domestic catch,1.0,1951,Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,Fiji,Artisanal,Landings,Unreported,hand or tools,Direct human consumption,123.5548409327,108691.65658307474
Fiji,eez,Reconstructed domestic catch,2.0,1951,Bivalvia,Clams,Other demersal invertebrates,Molluscs,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,3461.4816609095,11981855.28881286
Fiji,eez,Reconstructed domestic catch,2.0,1951,Gastropoda,Sea snails,Other demersal invertebrates,Molluscs,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1705.5358669045,2908852.5932975137
Fiji,eez,Reconstructed domestic catch,2.0,1951,Holocentridae,"Squirrel-, soldierfishes",Small reef assoc. fish (<30 cm),Other fishes & inverts,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,720.8358592095,519604.3359222692
Fiji,eez,Reconstructed domestic catch,2.0,1951,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,1413.9472622955,2051589.438150271
Fiji,eez,Reconstructed domestic catch,1.0,1951,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,harpoon,Direct human consumption,21.6174764457,31366.22385997877
Fiji,eez,Reconstructed domestic catch,1.0,1951,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,0.4651204662,674.8739938640063
Fiji,eez,Reconstructed domestic catch,1.0,1951,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,small scale hand lines,Direct human consumption,14.7811252253,21446.91050716413
Fiji,eez,Reconstructed domestic catch,1.0,1951,Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Fiji,Artisanal,Landings,Unreported,small scale purse seine,Direct human consumption,0.1550401554,224.95799795466883
